# V5 table?
# default is uint16LE
HEX     DEC VALUE
0x00    0   always a5
0x01    1   always 1C (msg type -?)
0x02    2   always 00
0x03    3   always 10
0x04    4   always 48 (msg type cd?)
0x05    5   message nr? starts from 00(synced with server?)- uInt8
0x06    6   message nr? starts from 01 - uInt8
0x07    7   data loger SN - uInt32LE
0x08    8   data loger SN
0x09    9   data loger SN
0x0A    10  data loger SN
0x0B    11  always 01?
0x0C    12  run time? - uInt32LE
0x0D    13  run time?
0x0E    14  run time?
0x0F    15  run time?
0x10    16  ?
0x11    17  always 00
0x12    18  always 00
0x13    19  always 00
0x14    20  ?
0x15    21  ?
0x16    22  ?
0x17    23  ?
0x18    24  ?
0x19    25  ?
0x1A    26  ?
0x1B    27  ?
0x1C    28  ?
0x1D    29  slowly incressing ?
0x1E    30  always 00
0x1F    31  00 or ?
0x20    32  00 or ?
0x22    33  00 or ?
0x23    34  00 or ?
0x24    35  00 or ?
0x25    36  00 or ?
0x26    37  00 or ?
0x27    38  ?
0x28    39  always 15
